
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 03:25:26 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.25s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -2325.6942    0  167  417.00000 -2325.6942   658%     -    0s
     0     0 -2325.6942    0  167  417.00000 -2325.6942   658%     -    0s
     0     2 -2325.6942    0  167  417.00000 -2325.6942   658%     -    1s
H   53    64                     387.0000000 -2062.0802   633%  11.0    4s
H   95   128                     375.0000000 -2062.0802   650%   9.6    4s
  5372  4863 -258.14852   87  167  375.00000 -2038.3091   644%   4.6    5s
  8659  6883 -2038.3091   54  231  375.00000 -2038.3091   644%  27.0   10s
 59325 48626 -2038.3091  122  107  375.00000 -2038.3091   644%  28.3   16s
 105204 86355 -2038.3091   72  134  375.00000 -2038.3091   644%  29.7   20s
 179937 147803 -2038.3091   58  129  375.00000 -2038.3091   644%  29.7   25s
 254971 209770 -1295.6708   80   68  375.00000 -2038.3091   644%  30.1   30s
 327151 267813 -2038.3091   63  162  375.00000 -2038.3091   644%  29.9   35s
 410215 334608 -2038.3091   55  145  375.00000 -2038.3091   644%  29.6   40s
 494167 402844 -2038.3091   98  112  375.00000 -2038.3091   644%  29.7   45s
 574733 467147 -2038.3091   91  105  375.00000 -2038.3091   644%  29.3   50s
 658743 532605 -2038.3091   79  124  375.00000 -2038.3091   644%  28.9   55s
 747583 602583 -2038.3091   73  146  375.00000 -2038.3091   644%  28.3   60s
 828783 667309 -2038.3091   73  114  375.00000 -2038.3091   644%  28.1   65s
 911298 731485 -2038.3091   84  110  375.00000 -2038.3091   644%  27.9   70s
 992222 792378 -2038.3091   85  113  375.00000 -2038.3091   644%  27.6   77s
 1024243 819525 -2038.3091   73  120  375.00000 -2038.3091   644%  27.6   80s
 1112738 886663 -2038.3091   66  130  375.00000 -2038.3091   644%  27.4   85s
 1198603 953691 -2038.3091   88   91  375.00000 -2038.3091   644%  27.2   90s
 1289160 1024056 -2038.3091  105  107  375.00000 -2038.3091   644%  26.9   95s
 1377972 1094222 -2038.3091   78  114  375.00000 -2038.3091   644%  26.8  100s
 1470982 1165914 -2038.3091   99   90  375.00000 -2038.3091   644%  26.5  105s
 1563040 1236353 -2038.3091   85  115  375.00000 -2038.3091   644%  26.4  110s
 1615507 1273762 -2038.3091   85   98  375.00000 -2038.3091   644%  26.3  115s
 1694595 1337415 -2038.3091   81  108  375.00000 -2038.3091   644%  26.2  120s
 1792906 1412208 -2038.3091   77  129  375.00000 -2038.3091   644%  26.0  125s
 1887457 1484316 -490.94725  126   49  375.00000 -2038.3091   644%  25.8  130s
 1986758 1559564 -2038.3091   65   95  375.00000 -2038.3091   644%  25.7  135s
 2087762 1635254 -459.27163   76   44  375.00000 -2038.3091   644%  25.6  140s
 2178588 1703484 -2038.3091   61   88  375.00000 -2038.3091   644%  25.5  145s
 2261072 1765685 -2038.3091   91   95  375.00000 -2038.3091   644%  25.4  150s
 2362033 1841265 -1883.3306   90   72  375.00000 -2038.3091   644%  25.3  155s
 2455782 1909244  367.61382  112   21  375.00000 -2038.3091   644%  25.2  161s
 2515943 1957351 -2038.3091   80  100  375.00000 -2038.3091   644%  25.1  165s
 2617533 2032854 -1914.6445   85   81  375.00000 -2038.3091   644%  25.0  170s
 2722782 2111982 -1262.8310  114   47  375.00000 -2038.3091   644%  24.9  175s
 2829414 2192283 -2038.3091   93  112  375.00000 -2038.3091   644%  24.7  180s
 2940757 2275525 -2038.3091   69  108  375.00000 -2038.3091   644%  24.6  185s
 3044427 2352444 -2038.3091   85  103  375.00000 -2038.3091   644%  24.5  190s
 3159577 2437232 -1989.4597   87   70  375.00000 -2038.3091   644%  24.3  195s
 3261973 2513409  -39.65105  113   34  375.00000 -2038.3091   644%  24.3  200s
 3372682 2595408 -2038.3091   93  102  375.00000 -2038.3091   644%  24.2  205s
