
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 16:31:46 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.03s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -2078.5939    0  194  351.00000 -2078.5939   692%     -    0s
     0     0 -2078.5939    0  194  351.00000 -2078.5939   692%     -    0s
     0     2 -2078.5939    0  194  351.00000 -2078.5939   692%     -    0s
H   25    32                     333.0000000 -1748.5048   625%  13.1    0s
H  151   160                     314.0000000 -1727.5689   650%  11.1    0s
H  576   606                     306.0000000 -1727.5689   665%   6.7    0s
  6918  6357  120.58251  148  340  306.00000 -1555.8883   608%   4.8    5s
 15678 11292 -1555.8883   68  280  306.00000 -1555.8883   608%  30.4   10s
 60264 47944 -1555.8883  102  219  306.00000 -1555.8883   608%  34.3   18s
 75140 59791 -1555.8883  112  207  306.00000 -1555.8883   608%  35.3   20s
 119248 98224 -1555.8883   57  273  306.00000 -1555.8883   608%  38.9   25s
 172085 142559 -1555.8883  110  131  306.00000 -1555.8883   608%  38.5   30s
 223740 184022 -1555.8883   96  121  306.00000 -1555.8883   608%  37.7   35s
 277213 229910  -45.97099  137   39  306.00000 -1555.8883   608%  37.5   40s
 328799 269669 -1555.8883   76  159  306.00000 -1555.8883   608%  37.5   45s
 373190 308186 -1555.8883   79  153  306.00000 -1555.8883   608%  37.5   50s
 423149 345433 -1555.8883   82  155  306.00000 -1555.8883   608%  37.2   59s
 431443 355388 -1555.8883   89  131  306.00000 -1555.8883   608%  37.1   60s
 488979 402148 -1555.8883   97  121  306.00000 -1555.8883   608%  37.1   65s
 522757 429907 -1555.8883  112  162  306.00000 -1555.8883   608%  37.1   70s
 587650 482978 -1555.8883  121   75  306.00000 -1555.8883   608%  36.7   75s
 653308 534976 -1555.8883   92  153  306.00000 -1555.8883   608%  36.3   80s
 714685 583481 -1555.8883   86  121  306.00000 -1555.8883   608%  36.0   85s
 786725 642224   57.29693  154   18  306.00000 -1555.8883   608%  35.4   90s
 855029 698218 -1555.8883   91  142  306.00000 -1555.8883   608%  35.1   95s
 922559 749765 -1555.8883   82  158  306.00000 -1555.8883   608%  34.7  100s
 990046 803858 -1555.8883  112  138  306.00000 -1555.8883   608%  34.7  105s
 1060762 860362 -1555.8883   90  114  306.00000 -1555.8883   608%  34.3  110s
 1135588 919949 -1555.8883  108  125  306.00000 -1555.8883   608%  33.9  115s
 1204644 973994 -1555.8883   86  128  306.00000 -1555.8883   608%  33.8  120s
 1278176 1034622 -1555.8883  126   88  306.00000 -1555.8883   608%  33.6  125s
 1338284 1080556 -1555.8883   97  156  306.00000 -1555.8883   608%  33.3  130s
 1400975 1132718 -1555.8883  142   85  306.00000 -1555.8883   608%  33.2  135s
 1478274 1193257 -1555.8883   98  120  306.00000 -1555.8883   608%  32.9  140s
 1552682 1253648 -1555.8883   91  111  306.00000 -1555.8883   608%  32.9  145s
 1622116 1307754 -287.13987  132   34  306.00000 -1555.8883   608%  32.8  150s
 1695609 1365549 -1555.8883  112  118  306.00000 -1555.8883   608%  32.7  155s
 1774078 1425908 -1555.8883  122   69  306.00000 -1555.8883   608%  32.5  160s
 1849060 1487561 -1555.8883   98   98  306.00000 -1555.8883   608%  32.4  165s
 1925779 1547157 -1555.8883  111  134  306.00000 -1555.8883   608%  32.3  170s
 1999732 1605914 -1555.8883   99  108  306.00000 -1555.8883   608%  32.2  175s
 2074865 1662635 -1555.8883   96  114  306.00000 -1555.8883   608%  32.1  180s
 2150841 1720965 -1555.8883   91  146  306.00000 -1555.8883   608%  32.0  185s
 2232542 1782720 -1555.8883  102  139  306.00000 -1555.8883   608%  31.9  190s
 2313915 1850384 -606.17195  153   48  306.00000 -1555.8883   608%  31.7  195s
 2394155 1910899 -1555.8883   88  101  306.00000 -1555.8883   608%  31.6  200s
 2468528 1969281 -1555.8883   95  122  306.00000 -1555.8883   608%  31.5  205s
