
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:35:12 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random16.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 256 columns and 0 nonzeros
Model fingerprint: 0x728dffb8
Model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3296.0000000
Found heuristic solution: objective 721.0000000
Found heuristic solution: objective 532.0000000
Found heuristic solution: objective 434.0000000
Found heuristic solution: objective 414.0000000
Presolve time: 0.04s
Presolved: 0 rows, 256 columns, 0 nonzeros
Presolved model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)

Root relaxation: objective -3.374220e+03, 255 iterations, 0.03 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -3374.2197    0  254  414.00000 -3374.2197   915%     -    0s
     0     0 -3374.2197    0  254  414.00000 -3374.2197   915%     -    0s
H    0     0                     370.0000000 -3374.2197  1012%     -    0s
     0     2 -3374.2197    0  254  370.00000 -3374.2197  1012%     -    0s
H   35    64                     346.0000000 -3033.8572   977%  18.8    1s
H   53    64                     340.0000000 -3033.8572   992%  15.4    1s
H   83    96                     322.0000000 -3029.4177  1041%  14.8    1s
H  709   736                     307.0000000 -2990.4235  1074%   6.3    2s
  7598  7200 -600.25553  119  360  307.00000 -2965.5573  1066%   4.5    5s
  7716  7279 -2184.8106   51  440  307.00000 -2965.5573  1066%   4.4   10s
  7803  7343 -2965.5573   37  434  307.00000 -2965.5573  1066%  11.4   15s
  8656  7968 -2965.5573   48  405  307.00000 -2965.5573  1066%  34.9   20s
H 8663  7597                     304.0000000 -2965.5573  1076%  35.2   20s
 11621  9480 -2965.5573   56  392  304.00000 -2965.5573  1076%  50.6   25s
 14203 10997 -2965.5573   64  375  304.00000 -2965.5573  1076%  62.9   30s
 20521 15296 -2965.5573   75  355  304.00000 -2965.5573  1076%  68.8   35s
 29046 19793 -2965.5573   83  339  304.00000 -2965.5573  1076%  65.0   40s
 40358 30370 -2965.5573   91  319  304.00000 -2965.5573  1076%  60.7   45s
 52965 42329 -2965.5573  102  311  304.00000 -2965.5573  1076%  58.1   50s
 60230 49168 -2965.5573  108  298  304.00000 -2965.5573  1076%  56.3   61s
 68593 56484 -2965.5573  115  287  304.00000 -2965.5573  1076%  55.7   66s
 78004 65392 -2965.5573  124  275  304.00000 -2965.5573  1076%  55.4   70s
 89799 73214 -2965.5573  135  258  304.00000 -2965.5573  1076%  54.2   88s
 89831 102123 -2965.5573  135  232  304.00000 -2965.5573  1076%  54.3  104s
 121863 107160 -1723.4431  178   64  304.00000 -2965.5573  1076%  58.0  107s
 130881 114135 -2965.5573   70  261  304.00000 -2965.5573  1076%  57.2  111s
 138592 117993 -2965.5573   57  284  304.00000 -2965.5573  1076%  58.0  115s
 149705 129030 -2965.5573   64  261  304.00000 -2965.5573  1076%  60.9  120s
 167543 146728 -2965.5573   83  228  304.00000 -2965.5573  1076%  61.5  126s
 185264 158996 -2653.8086  201   71  304.00000 -2965.5573  1076%  59.8  131s
 185377 188088 -2595.8616  202   71  304.00000 -2965.5573  1076%  60.0  139s
 217409 193141 -572.09623  180   42  304.00000 -2965.5573  1076%  59.6  141s
 232871 204220 -2965.5573   48  291  304.00000 -2965.5573  1076%  58.6  146s
 247127 218540 -2965.5573   49  251  304.00000 -2965.5573  1076%  57.4  150s
 262169 232197 -2965.5573   63  246  304.00000 -2965.5573  1076%  56.6  156s
 276561 244901 -2965.5573   63  264  304.00000 -2965.5573  1076%  56.0  161s
 289048 254691 -2965.5573  131  146  304.00000 -2965.5573  1076%  55.5  165s
 303100 265601 -2965.5573   68  292  304.00000 -2965.5573  1076%  55.0  170s
 316493 280198 -2965.5573  102  238  304.00000 -2965.5573  1076%  54.4  175s
 331135 290186 -2965.5573   72  232  304.00000 -2965.5573  1076%  54.6  180s
 343754 302352 -2965.5573   54  295  304.00000 -2965.5573  1076%  55.1  185s
 356368 315010 -2965.5573   66  260  304.00000 -2965.5573  1076%  54.7  190s
 371169 327125 -2965.5573   92  150  304.00000 -2965.5573  1076%  54.4  195s
 387667 342347 -2965.5573   97  209  304.00000 -2965.5573  1076%  53.8  200s
 404502 356030 -2965.5573   58  273  304.00000 -2965.5573  1076%  53.4  205s
 420084 371116 -2965.5573   58  306  304.00000 -2965.5573  1076%  52.9  210s
 436970 383626 -2965.5573   74  246  304.00000 -2965.5573  1076%  52.8  215s
 445389 393566 -2965.5573   70  273  304.00000 -2965.5573  1076%  53.5  221s
