
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 22:35:56 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.05s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -3172.8160    0  287  545.00000 -3172.8160   682%     -    0s
H    0     0                     444.0000000 -3172.8160   815%     -    0s
     0     0 -3172.8160    0  287  444.00000 -3172.8160   815%     -    0s
     0     2 -3172.8160    0  287  444.00000 -3172.8160   815%     -    0s
H   19    32                     432.0000000 -2947.8268   782%  16.7    0s
H  106   128                     430.0000000 -2938.7001   783%  15.9    0s
H  322   384                     418.0000000 -2934.2384   802%  10.0    1s
H  486   512                     413.0000000 -2934.2384   810%   8.3    1s
H  495   512                     412.0000000 -2934.2384   812%   8.2    1s
H  498   512                     410.0000000 -2934.2384   816%   8.2    1s
H 7363  7048                     409.0000000 -2919.7918   814%   5.3    1s
H 7550  7042                     406.0000000 -2919.7918   819%   5.3    2s
  7658  7150 -2919.7918   49  333  406.00000 -2919.7918   819%   9.7    5s
H16888 12789                     402.0000000 -2919.7918   826%  43.8    9s
 21919 15399 -2919.7918   89  319  402.00000 -2919.7918   826%  45.4   10s
 59233 50649 -2919.7918  133  253  402.00000 -2919.7918   826%  38.8   20s
 72871 59290 -2919.7918  152  265  402.00000 -2919.7918   826%  40.5   29s
 72903 62793 -2919.7918  152  240  402.00000 -2919.7918   826%  40.5   30s
 97881 83071 -2919.7918  206  176  402.00000 -2919.7918   826%  42.0   35s
 110651 97093 -2919.7918   71  236  402.00000 -2919.7918   826%  47.5   40s
 136584 118844 -2919.7918   67  314  402.00000 -2919.7918   826%  48.0   45s
 165782 145470 -2919.7918  183  127  402.00000 -2919.7918   826%  47.3   50s
 200136 175826 -2919.7918  169  161  402.00000 -2919.7918   826%  46.0   55s
 230971 203710 -2919.7918   71  275  402.00000 -2919.7918   826%  45.2   60s
 257658 229491 -2919.7918   56  311  402.00000 -2919.7918   826%  44.8   65s
 291462 258662 -2919.7918   73  275  402.00000 -2919.7918   826%  44.3   70s
 318808 280187 -2919.7918   74  277  402.00000 -2919.7918   826%  44.3   75s
 345818 307390 -2919.7918  152  147  402.00000 -2919.7918   826%  45.6   80s
 376537 335183 -2919.7918  137  179  402.00000 -2919.7918   826%  45.1   85s
 403736 358215 -2919.7918   63  304  402.00000 -2919.7918   826%  45.4   90s
 423329 375001 -2919.7918   61  277  402.00000 -2919.7918   826%  45.9   95s
 447852 397676 -2919.7918  106  249  402.00000 -2919.7918   826%  46.9  100s
 481249 427255 -2919.7918   81  291  402.00000 -2919.7918   826%  46.4  105s
 514005 455535 -828.06814  231   48  402.00000 -2919.7918   826%  46.0  110s
 541985 481706 -2919.7918   78  247  402.00000 -2919.7918   826%  46.2  115s
 576971 511683 -2919.7918   50  302  402.00000 -2919.7918   826%  45.8  120s
 604136 531786 -2828.9477  219   79  402.00000 -2919.7918   826%  45.4  127s
 618303 548958 -2919.7918   80  318  402.00000 -2919.7918   826%  45.2  130s
 648439 573801 -2919.7918   70  249  402.00000 -2919.7918   826%  45.4  135s
 680492 602556 -2919.7918  104  246  402.00000 -2919.7918   826%  45.8  140s
 698673 619986 -2919.7918  100  178  402.00000 -2919.7918   826%  46.3  145s
 731440 649174 -2919.7918   61  302  402.00000 -2919.7918   826%  45.9  150s
 765029 678829 -2919.7918   73  239  402.00000 -2919.7918   826%  45.6  155s
 799656 709648 -2919.7918   67  306  402.00000 -2919.7918   826%  45.4  160s
 836444 741230 -2919.7918   98  278  402.00000 -2919.7918   826%  45.0  165s
 871682 773415 -2919.7918   57  296  402.00000 -2919.7918   826%  44.6  170s
 902134 801271 -2919.7918   64  277  402.00000 -2919.7918   826%  44.4  175s
 937520 831098 -2919.7918   94  220  402.00000 -2919.7918   826%  44.2  180s
 970536 860370 -2919.7918   67  299  402.00000 -2919.7918   826%  44.0  185s
 1005779 891527 -2919.7918  184  139  402.00000 -2919.7918   826%  43.9  190s
