
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 04:28:07 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x8cf11bc0
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [2e+02, 2e+02]
  QObjective range [1e+01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 1428.0000000
Found heuristic solution: objective 424.0000000
Found heuristic solution: objective 383.0000000
Found heuristic solution: objective 359.0000000
Presolve time: 0.02s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.253425e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -2253.4248    0  194  359.00000 -2253.4248   728%     -    0s
     0     0 -2253.4248    0  194  359.00000 -2253.4248   728%     -    0s
H    0     0                     352.0000000 -2253.4248   740%     -    0s
     0     2 -2253.4248    0  194  352.00000 -2253.4248   740%     -    0s
H   11    16                     322.0000000 -1946.8104   705%  13.4    0s
H  161   192                     320.0000000 -1912.8982   698%   9.4    2s
H  162   192                     318.0000000 -1912.8982   702%   9.4    2s
H  178   192                     315.0000000 -1912.8982   707%   8.9    2s
H  184   192                     306.0000000 -1912.8982   725%   8.8    2s
  6794  6365 -684.22349   46  259  306.00000 -1886.7037   717%   3.8    5s
  6918  6458 -1886.7037   46  317  306.00000 -1886.7037   717%   8.4   10s
 13285  9986 -1886.7037   67  229  306.00000 -1886.7037   717%  37.6   15s
 47996 37596 -1886.7037   99  191  306.00000 -1886.7037   717%  39.7   20s
 57877 46402 -1886.7037  109  192  306.00000 -1886.7037   717%  38.2   25s
 100140 81317 -969.63903  170  103  306.00000 -1886.7037   717%  37.6   30s
 135410 111702 -1458.9696  107  139  306.00000 -1886.7037   717%  40.8   35s
 182487 152072 -1363.9306  103  101  306.00000 -1886.7037   717%  39.2   40s
 236283 194700 -1625.2711   93  139  306.00000 -1886.7037   717%  38.0   45s
 282913 236152 -1830.8353   83  147  306.00000 -1886.7037   717%  37.4   50s
 335649 279584 -1547.3789   90  143  306.00000 -1886.7037   717%  36.2   55s
 387779 321885 -743.74981  137   80  306.00000 -1886.7037   717%  35.3   60s
 405653 337015 -1546.6766   79  138  306.00000 -1886.7037   717%  35.0   65s
 456858 376434 -1686.8289  121  142  306.00000 -1886.7037   717%  35.0   70s
 504714 416929 -1326.3042   61  126  306.00000 -1886.7037   717%  34.5   75s
 551958 456320  114.07804  122   34  306.00000 -1886.7037   717%  34.4   80s
 603155 498582 -1665.4455   83  137  306.00000 -1886.7037   717%  34.0   85s
 638691 525826 -1886.7037   55  165  306.00000 -1886.7037   717%  34.1   90s
 678105 561248 -876.74960   74   91  306.00000 -1886.7037   717%  34.1   95s
 719143 596285 -842.40639  114   93  306.00000 -1886.7037   717%  34.4  100s
 764465 630897 -759.55054   96   87  306.00000 -1886.7037   717%  34.4  105s
 804863 664518 -1636.2958   77  147  306.00000 -1886.7037   717%  34.3  110s
 846267 698725 -1709.4631   65  156  306.00000 -1886.7037   717%  34.5  115s
 882993 732401 -957.67864  106   97  306.00000 -1886.7037   717%  34.9  120s
 922894 762649 -1673.9206   94  152  306.00000 -1886.7037   717%  34.8  125s
 950491 782914 -116.48001  119   54  306.00000 -1886.7037   717%  35.1  134s
 955651 793990 -1886.7037   60  181  306.00000 -1886.7037   717%  35.1  135s
 996615 825428 -1886.7037   77  177  306.00000 -1886.7037   717%  35.1  140s
 1038294 860507 -1886.7037   66  206  306.00000 -1886.7037   717%  35.4  145s
 1074774 892035 -1708.9801   92  155  306.00000 -1886.7037   717%  35.6  150s
 1116719 925701 -1719.1958   76  155  306.00000 -1886.7037   717%  35.5  155s
 1155559 956975 -1886.7037   82  157  306.00000 -1886.7037   717%  35.5  160s
 1195379 988611 -1609.4446   89  146  306.00000 -1886.7037   717%  35.6  165s
 1234048 1020958 -1853.4298   93  143  306.00000 -1886.7037   717%  35.7  170s
 1284893 1062420 -1207.6120   94  108  306.00000 -1886.7037   717%  35.5  175s
 1334757 1101040 -1284.8376   85  117  306.00000 -1886.7037   717%  35.3  180s
 1386963 1143930 -1886.7037   93  167  306.00000 -1886.7037   717%  35.1  185s
 1435956 1182587 -1679.6891   94  150  306.00000 -1886.7037   717%  35.0  190s
 1493461 1228911 -1306.7930   83  129  306.00000 -1886.7037   717%  34.7  195s
 1544425 1271640 -1208.2749   90  107  306.00000 -1886.7037   717%  34.8  200s
