
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:32:21 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xc45c5b5e
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [6e+00, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2754.0000000
Found heuristic solution: objective 601.0000000
Found heuristic solution: objective 521.0000000
Presolve time: 0.07s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.214791e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -3214.7910    0  287  521.00000 -3214.7910   717%     -    0s
     0     0 -3214.7910    0  287  521.00000 -3214.7910   717%     -    0s
     0     2 -3214.7910    0  287  521.00000 -3214.7910   717%     -    0s
H    2     4                     478.0000000 -3096.8131   748%  10.0    0s
H   50    64                     463.0000000 -2970.7498   742%  14.4    1s
H   78    96                     459.0000000 -2963.5610   746%  15.3    1s
H  119   128                     441.0000000 -2959.3315   771%  12.9    1s
H  230   256                     435.0000000 -2954.5607   779%  10.2    1s
H 1045  1077                     403.0000000 -2954.5607   833%   6.1    2s
  8945  8422 -1318.6142  135  299  403.00000 -2915.3232   823%   4.5    5s
  9027  8477 -1569.5133   94  468  403.00000 -2915.3232   823%   4.5   10s
  9110  8532 -594.95757  169  515  403.00000 -2915.3232   823%   4.4   15s
  9169  8573 -1368.7226   85  467  403.00000 -2915.3232   823%  10.5   20s
  9277  8678 -2915.3232   49  416  403.00000 -2915.3232   823%  17.5   27s
  9839  9097 -2915.3232   54  402  403.00000 -2915.3232   823%  29.8   30s
 13136 11224 -2915.3232   63  443  403.00000 -2915.3232   823%  43.2   35s
 16575 13365 -2915.3232   71  431  403.00000 -2915.3232   823%  55.8   40s
 22829 16940 -2915.3232   82  413  403.00000 -2915.3232   823%  66.2   45s
 33128 23067 -2915.3232   92  395  403.00000 -2915.3232   823%  70.3   50s
 43433 32275 -2915.3232  100  380  403.00000 -2915.3232   823%  71.5   55s
 54095 41287 -2915.3232  108  363  403.00000 -2915.3232   823%  71.2   60s
 63100 51845 -2915.3232  114  349  403.00000 -2915.3232   823%  70.5   65s
 78730 65311 -2915.3232  126  334  403.00000 -2915.3232   823%  68.5   70s
 93717 79562 -2915.3232  137  315  403.00000 -2915.3232   823%  66.0   75s
 112050 96159 -2915.3232  150  287  403.00000 -2915.3232   823%  63.3   80s
 128634 110750 -2915.3232  164  232  403.00000 -2915.3232   823%  61.2   85s
 143174 123039 -2915.3232  192  187  403.00000 -2915.3232   823%  63.3   91s
 152196 133902 -2915.3232  224  168  403.00000 -2915.3232   823%  65.1   95s
 169131 148157 -2915.3232   78  353  403.00000 -2915.3232   823%  63.7  100s
 188231 164285 -2915.3232   77  321  403.00000 -2915.3232   823%  62.4  105s
 206851 182051 -2915.3232   84  276  403.00000 -2915.3232   823%  61.4  110s
 225663 198180 -2915.3232  123  148  403.00000 -2915.3232   823%  60.5  115s
 244349 216146 -2915.3232   59  325  403.00000 -2915.3232   823%  62.9  120s
 261343 231948 -2915.3232   86  270  403.00000 -2915.3232   823%  64.3  125s
 289215 256143 -2915.3232  126  166  403.00000 -2915.3232   823%  63.5  130s
 316445 281705 -2915.3232  151  183  403.00000 -2915.3232   823%  63.0  135s
 344830 306542 -2915.3232  135  200  403.00000 -2915.3232   823%  61.4  140s
 370244 328931 -2915.3232   65  263  403.00000 -2915.3232   823%  61.6  145s
 395973 354403 -2915.3232   64  244  403.00000 -2915.3232   823%  61.7  150s
 416717 368984 -2915.3232  142  215  403.00000 -2915.3232   823%  61.2  156s
 432309 385804 -2915.3232   97  217  403.00000 -2915.3232   823%  61.2  160s
 460695 411186 -2915.3232   63  240  403.00000 -2915.3232   823%  60.5  165s
 491084 439993 -2915.3232   82  270  403.00000 -2915.3232   823%  59.5  170s
 513572 457897 -2915.3232   81  271  403.00000 -2915.3232   823%  58.9  175s
 533967 477587 -2915.3232   80  294  403.00000 -2915.3232   823%  59.7  180s
 562261 502201 -2915.3232  128  241  403.00000 -2915.3232   823%  59.1  185s
 580011 516758 -2915.3232   91  288  403.00000 -2915.3232   823%  59.0  191s
 596242 530582 -2915.3232  147  175  403.00000 -2915.3232   823%  58.6  195s
 612177 544172 -2915.3232   92  258  403.00000 -2915.3232   823%  58.3  200s
