
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:38:05 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.34s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -2078.5939    0  194  351.00000 -2078.5939   692%     -    0s
     0     0 -2078.5939    0  194  351.00000 -2078.5939   692%     -    0s
     0     2 -2078.5939    0  194  351.00000 -2078.5939   692%     -    1s
H   25    32                     333.0000000 -1748.5048   625%  13.1    2s
H  151   160                     314.0000000 -1727.5689   650%  11.1    3s
H  576   606                     306.0000000 -1727.5689   665%   6.7    3s
  6799  6278 -851.79208   55  193  306.00000 -1555.8883   608%   4.9    5s
  6918  6357  120.58251  148  340  306.00000 -1555.8883   608%   4.8   10s
  7772  7064 -1555.8883   55  305  306.00000 -1555.8883   608%  21.1   15s
 21523 14884 -1555.8883   74  268  306.00000 -1555.8883   608%  34.0   20s
 43282 32231 -1555.8883   91  239  306.00000 -1555.8883   608%  35.7   25s
 60264 47944 -1555.8883  102  219  306.00000 -1555.8883   608%  34.3   34s
 62930 49238 -1555.8883  104  216  306.00000 -1555.8883   608%  34.2   35s
 83870 67137 -1555.8883  120  189  306.00000 -1555.8883   608%  36.1   40s
 104100 85088 -1555.8883  152  139  306.00000 -1555.8883   608%  39.2   45s
 126228 102363 -1555.8883   59  241  306.00000 -1555.8883   608%  38.8   50s
 150647 123425 -1555.8883   85  176  306.00000 -1555.8883   608%  38.0   55s
 176642 145081 -1555.8883   80  156  306.00000 -1555.8883   608%  38.3   60s
 200176 164895 -882.10472  151   60  306.00000 -1555.8883   608%  38.0   65s
 223740 184022 -1555.8883   96  121  306.00000 -1555.8883   608%  37.7   70s
 247564 204062 -1555.8883  133   71  306.00000 -1555.8883   608%  37.3   75s
 274007 226189 -1555.8883   78  164  306.00000 -1555.8883   608%  37.5   80s
 299812 247896 -1555.8883   90  145  306.00000 -1555.8883   608%  37.2   85s
 324148 269292 -826.70403  113   53  306.00000 -1555.8883   608%  37.5   90s
 351332 289870 -1555.8883   90  122  306.00000 -1555.8883   608%  37.3   95s
 382362 316070 -1555.8883   83  187  306.00000 -1555.8883   608%  37.3  100s
 405283 333591 -1555.8883   78  159  306.00000 -1555.8883   608%  37.4  105s
 423149 345433 -1555.8883   82  155  306.00000 -1555.8883   608%  37.2  115s
 445210 367091 -1555.8883  111   64  306.00000 -1555.8883   608%  37.0  120s
 472955 388050 -1555.8883   81  168  306.00000 -1555.8883   608%  36.9  125s
 496239 408182 -1555.8883   97  121  306.00000 -1555.8883   608%  37.3  130s
 510224 416677 -1555.8883  138   82  306.00000 -1555.8883   608%  37.1  135s
 533347 437285 -1555.8883   95  101  306.00000 -1555.8883   608%  37.0  140s
 557725 458252 -1555.8883  134   51  306.00000 -1555.8883   608%  37.0  145s
 587650 482978 -1555.8883  121   75  306.00000 -1555.8883   608%  36.7  150s
 615689 506862 -1555.8883  109   72  306.00000 -1555.8883   608%  36.5  155s
 645318 529447 -1555.8883   90  157  306.00000 -1555.8883   608%  36.3  160s
 670520 549568 -1555.8883  117  110  306.00000 -1555.8883   608%  36.2  165s
 699520 572313 -1555.8883   80  161  306.00000 -1555.8883   608%  36.1  170s
 728962 595591 -1555.8883  119  127  306.00000 -1555.8883   608%  35.9  175s
 758670 619768 -1555.8883  109  105  306.00000 -1555.8883   608%  35.6  180s
 790155 645153 -1555.8883   91  137  306.00000 -1555.8883   608%  35.4  185s
 825442 673266 -1555.8883  100  142  306.00000 -1555.8883   608%  35.1  190s
 855029 698218 -1555.8883   91  142  306.00000 -1555.8883   608%  35.1  195s
 883652 720634 -1555.8883   85  151  306.00000 -1555.8883   608%  34.9  200s
 914415 743638  301.27607  106   30  306.00000 -1555.8883   608%  34.8  205s
 942066 765614 -1555.8883  108  135  306.00000 -1555.8883   608%  34.7  210s
 972969 789336 -1555.8883   77  134  306.00000 -1555.8883   608%  34.6  215s
