
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 23:40:18 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random15.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 225 columns and 0 nonzeros
Model fingerprint: 0xc509cc8e
Model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2940.0000000
Found heuristic solution: objective 712.0000000
Found heuristic solution: objective 498.0000000
Found heuristic solution: objective 445.0000000
Found heuristic solution: objective 444.0000000
Found heuristic solution: objective 409.0000000
Presolve time: 0.05s
Presolved: 0 rows, 225 columns, 0 nonzeros
Presolved model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Found heuristic solution: objective 386.0000000

Root relaxation: objective -4.331011e+03, 234 iterations, 0.01 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -4331.0109    0  223  386.00000 -4331.0109  1222%     -    0s
     0     0 -4331.0109    0  223  386.00000 -4331.0109  1222%     -    0s
     0     2 -4331.0109    0  223  386.00000 -4331.0109  1222%     -    0s
H    5     8                     384.0000000 -4037.6836  1151%  13.8    0s
H   10    16                     349.0000000 -4023.8756  1253%  11.4    0s
H  649   704                     346.0000000 -3970.0156  1247%   4.7    2s
H  658   704                     341.0000000 -3970.0156  1264%   4.6    2s
H 1562  1563                     320.0000000 -3970.0156  1341%   4.2    2s
  6972  6509 -3184.4713   11  311  320.00000 -3933.8094  1329%   4.3    5s
  7081  6582  221.28358   73  385  320.00000 -3933.8094  1329%   4.2   10s
  7255  6732 -3933.8094   38  371  320.00000 -3933.8094  1329%  15.9   15s
 12502  9985 -3933.8094   54  341  320.00000 -3933.8094  1329%  34.9   20s
 21094 14733 -3933.8094   68  313  320.00000 -3933.8094  1329%  42.1   25s
 31976 23245 -3933.8094   79  264  320.00000 -3933.8094  1329%  44.8   30s
 42680 33468 -3933.8094   89  267  320.00000 -3933.8094  1329%  44.7   35s
 59036 47840 -3933.8094  102  238  320.00000 -3933.8094  1329%  41.8   47s
 66622 53898 -3933.8094  109  239  320.00000 -3933.8094  1329%  41.5   50s
 75571 61723 -3933.8094  125  210  320.00000 -3933.8094  1329%  45.4   56s
 84457 67864 -3933.8094  141  162  320.00000 -3933.8094  1329%  47.7   71s
 92566 78227 -3233.1360  158  134  320.00000 -3933.8094  1329%  47.5   76s
 105153 89044 -3933.8094   39  329  320.00000 -3933.8094  1329%  47.2   81s
 121285 103612 -3933.8094   54  291  320.00000 -3933.8094  1329%  45.9   86s
 133542 113920 -3933.8094   66  254  320.00000 -3933.8094  1329%  45.1   90s
 152331 130674 -3933.8094   51  225  320.00000 -3933.8094  1329%  44.0   96s
 166950 140512 -3933.8094   76  207  320.00000 -3933.8094  1329%  43.5  100s
 179895 152397 -3933.8094   89  151  320.00000 -3933.8094  1329%  44.6  105s
 193726 165387 -3933.8094   60  224  320.00000 -3933.8094  1329%  45.3  111s
 206433 175508 -3933.8094   54  212  320.00000 -3933.8094  1329%  45.2  115s
 222757 189720 -3933.8094   92  206  320.00000 -3933.8094  1329%  44.7  120s
 236753 201550 -3204.4212   91  142  320.00000 -3933.8094  1329%  45.0  126s
 248353 211423 -3933.8094   89  170  320.00000 -3933.8094  1329%  45.0  130s
 260813 222772 -1187.6244  151   56  320.00000 -3933.8094  1329%  44.9  135s
 274302 230650 -3933.8094   70  140  320.00000 -3933.8094  1329%  44.7  141s
 275325 244613 -3366.2176   71  122  320.00000 -3933.8094  1329%  44.7  145s
 302357 256077 -1636.8918  131   86  320.00000 -3933.8094  1329%  44.5  150s
 319125 269363 -3933.8094   86  208  320.00000 -3933.8094  1329%  44.0  155s
 334444 282558 -3933.8094  101  181  320.00000 -3933.8094  1329%  43.7  160s
 354595 299410 -3933.8094   93  153  320.00000 -3933.8094  1329%  43.1  165s
 366904 309714 -3933.8094   93  190  320.00000 -3933.8094  1329%  43.7  170s
 377636 321394 -3933.8094  106  164  320.00000 -3933.8094  1329%  44.6  175s
 396117 338283 -3933.8094   93  212  320.00000 -3933.8094  1329%  44.2  180s
 417926 354617 -3933.8094   78  197  320.00000 -3933.8094  1329%  43.7  185s
 436858 369535 -3933.8094   81  205  320.00000 -3933.8094  1329%  43.2  190s
 456588 387432 -3933.8094   63  216  320.00000 -3933.8094  1329%  43.1  195s
 474575 400795 -3933.8094   55  204  320.00000 -3933.8094  1329%  42.8  200s
 491266 417749 -1519.0350  109   72  320.00000 -3933.8094  1329%  42.5  206s
