
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 01:41:57 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random16.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 256 columns and 0 nonzeros
Model fingerprint: 0x728dffb8
Model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3296.0000000
Found heuristic solution: objective 721.0000000
Found heuristic solution: objective 532.0000000
Found heuristic solution: objective 434.0000000
Found heuristic solution: objective 414.0000000
Presolve time: 0.09s
Presolved: 0 rows, 256 columns, 0 nonzeros
Presolved model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)

Root relaxation: objective -3.374220e+03, 255 iterations, 0.03 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -3374.2197    0  254  414.00000 -3374.2197   915%     -    0s
     0     0 -3374.2197    0  254  414.00000 -3374.2197   915%     -    0s
H    0     0                     370.0000000 -3374.2197  1012%     -    0s
     0     2 -3374.2197    0  254  370.00000 -3374.2197  1012%     -    0s
H   35    64                     346.0000000 -3033.8572   977%  18.8    1s
H   53    64                     340.0000000 -3033.8572   992%  15.4    1s
H   83    96                     322.0000000 -3029.4177  1041%  14.8    1s
H  709   736                     307.0000000 -2990.4235  1074%   6.3    2s
  7568  7180 -1394.4988   99  260  307.00000 -2965.5573  1066%   4.5    5s
  7667  7246 -150.46664  157  441  307.00000 -2965.5573  1066%   4.5   10s
  7758  7307 -1241.2261  125  442  307.00000 -2965.5573  1066%   4.4   15s
  7895  7432 -2965.5573   41  393  307.00000 -2965.5573  1066%  18.3   20s
H 8663  7597                     304.0000000 -2965.5573  1076%  35.2   23s
  9089  7931 -2965.5573   50  403  304.00000 -2965.5573  1076%  39.3   25s
 11444  9309 -2965.5573   55  363  304.00000 -2965.5573  1076%  49.6   30s
 13484 10538 -2965.5573   62  379  304.00000 -2965.5573  1076%  60.7   35s
 17388 13502 -2965.5573   71  362  304.00000 -2965.5573  1076%  69.0   40s
 22689 16454 -2965.5573   78  348  304.00000 -2965.5573  1076%  68.2   45s
 29787 22248 -2965.5573   84  339  304.00000 -2965.5573  1076%  65.6   50s
 40358 30370 -2965.5573   91  319  304.00000 -2965.5573  1076%  60.7   55s
 49556 40427 -2965.5573  100  313  304.00000 -2965.5573  1076%  59.5   61s
 60230 49168 -2965.5573  108  298  304.00000 -2965.5573  1076%  56.3   78s
 64853 54272 -2965.5573  112  287  304.00000 -2965.5573  1076%  56.4   81s
 71187 59171 -2965.5573  118  282  304.00000 -2965.5573  1076%  55.8   85s
 81221 70343 -2965.5573  127  270  304.00000 -2965.5573  1076%  55.2   90s
 89799 73214 -2965.5573  135  258  304.00000 -2965.5573  1076%  54.2  110s
 89831 102123 -2965.5573  135  232  304.00000 -2965.5573  1076%  54.3  131s
 127658 109924 -2965.5573  120  175  304.00000 -2965.5573  1076%  57.4  136s
 135525 115788 -2965.5573   58  273  304.00000 -2965.5573  1076%  56.5  140s
 140039 120950 -2965.5573   68  266  304.00000 -2965.5573  1076%  59.2  145s
 149340 126961 -2965.5573  118  178  304.00000 -2965.5573  1076%  60.7  150s
 155699 136930 -2965.5573   79  228  304.00000 -2965.5573  1076%  62.3  156s
 162888 143186 -2965.5573   53  299  304.00000 -2965.5573  1076%  61.9  160s
 175466 153548 -2965.5573   65  219  304.00000 -2965.5573  1076%  60.9  166s
 185264 158996 -2653.8086  201   71  304.00000 -2965.5573  1076%  59.8  172s
 185377 188088 -2595.8616  202   71  304.00000 -2965.5573  1076%  60.0  187s
 223130 196187 -2965.5573   63  268  304.00000 -2965.5573  1076%  59.1  191s
 232871 204220 -2965.5573   48  291  304.00000 -2965.5573  1076%  58.6  196s
 241023 214521 -2965.5573  102  210  304.00000 -2965.5573  1076%  58.0  200s
 256518 225258 -2965.5573  145  148  304.00000 -2965.5573  1076%  56.9  206s
 262169 232197 -2965.5573   63  246  304.00000 -2965.5573  1076%  56.6  210s
 276561 244901 -2965.5573   63  264  304.00000 -2965.5573  1076%  56.0  216s
 289048 254691 -2965.5573  131  146  304.00000 -2965.5573  1076%  55.5  221s
 301713 263181 -2965.5573  122  164  304.00000 -2965.5573  1076%  54.8  226s
 310676 274741 -2965.5573   58  318  304.00000 -2965.5573  1076%  54.8  231s
 322114 284185 -2965.5573   68  247  304.00000 -2965.5573  1076%  54.1  235s
 331135 290186 -2965.5573   72  232  304.00000 -2965.5573  1076%  54.6  241s
