
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 03:42:54 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.14s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.05 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -3172.8160    0  287  545.00000 -3172.8160   682%     -    0s
H    0     0                     444.0000000 -3172.8160   815%     -    0s
     0     0 -3172.8160    0  287  444.00000 -3172.8160   815%     -    0s
     0     2 -3172.8160    0  287  444.00000 -3172.8160   815%     -    0s
H   19    32                     432.0000000 -2947.8268   782%  16.7    1s
H  106   128                     430.0000000 -2938.7001   783%  15.9    1s
H  322   384                     418.0000000 -2934.2384   802%  10.0    1s
H  486   512                     413.0000000 -2934.2384   810%   8.3    2s
H  495   512                     412.0000000 -2934.2384   812%   8.2    2s
H  498   512                     410.0000000 -2934.2384   816%   8.2    2s
H 7363  7048                     409.0000000 -2919.7918   814%   5.3    3s
H 7550  7042                     406.0000000 -2919.7918   819%   5.3    5s
  7722  7193 -2919.7918   50  370  406.00000 -2919.7918   819%  11.7   10s
 11975  9886 -2919.7918   71  350  406.00000 -2919.7918   819%  41.1   15s
H16888 12789                     402.0000000 -2919.7918   826%  43.8   17s
 23830 17182 -2919.7918   92  312  402.00000 -2919.7918   826%  46.8   20s
 39775 30929 -2919.7918  112  282  402.00000 -2919.7918   826%  43.1   25s
 59233 50649 -2919.7918  133  253  402.00000 -2919.7918   826%  38.8   37s
 66368 54827 -2919.7918  143  278  402.00000 -2919.7918   826%  39.4   40s
 72871 59290 -2919.7918  152  265  402.00000 -2919.7918   826%  40.5   51s
 79857 68339 -2919.7918  161  253  402.00000 -2919.7918   826%  40.8   56s
 90483 79180 -2919.7918  182  223  402.00000 -2919.7918   826%  41.3   60s
 99427 85625 -2919.7918  220  156  402.00000 -2919.7918   826%  42.3   65s
 105807 93599 -2919.7918  197  119  402.00000 -2919.7918   826%  46.6   70s
 119632 107121 -2919.7918   67  314  402.00000 -2919.7918   826%  47.6   75s
 133721 116325 -2919.7918   66  305  402.00000 -2919.7918   826%  47.7   80s
 149358 131228 -2919.7918   71  257  402.00000 -2919.7918   826%  47.7   86s
 165782 145470 -2919.7918  183  127  402.00000 -2919.7918   826%  47.3   91s
 178076 157495 -2919.7918   68  303  402.00000 -2919.7918   826%  47.0   95s
 196326 173058 -2919.7918   80  305  402.00000 -2919.7918   826%  46.1  100s
 210397 185575 -2919.7918  118  233  402.00000 -2919.7918   826%  45.9  105s
 226922 200329 -2919.7918   69  295  402.00000 -2919.7918   826%  45.3  110s
 242639 214036 -2919.7918   84  293  402.00000 -2919.7918   826%  44.9  115s
 263135 231792 -2366.9770  221   79  402.00000 -2919.7918   826%  44.6  120s
 280001 248675 -2919.7918   80  285  402.00000 -2919.7918   826%  44.6  125s
 299268 265050 -2919.7918  127  227  402.00000 -2919.7918   826%  44.2  131s
 312042 274377 -2919.7918   70  282  402.00000 -2919.7918   826%  44.3  136s
 319865 282424 -2919.7918   87  256  402.00000 -2919.7918   826%  44.9  140s
 330443 295886 -2919.7918   82  282  402.00000 -2919.7918   826%  46.0  146s
 349456 310505 -2919.7918   73  318  402.00000 -2919.7918   826%  45.5  151s
 363960 323885 -2919.7918   65  316  402.00000 -2919.7918   826%  45.2  155s
 379901 339328 -2919.7918   82  291  402.00000 -2919.7918   826%  45.1  160s
 393743 350298 -2919.7918   70  254  402.00000 -2919.7918   826%  45.2  165s
 406908 362470 -2919.7918   73  300  402.00000 -2919.7918   826%  45.5  171s
 417391 368059 -2919.7918   84  205  402.00000 -2919.7918   826%  45.7  176s
 427363 376742 -2919.7918   71  213  402.00000 -2919.7918   826%  45.9  180s
 437530 390657 -2919.7918  193   99  402.00000 -2919.7918   826%  47.0  185s
 458970 407367 -2919.7918   71  285  402.00000 -2919.7918   826%  46.6  190s
 471870 419879 -2919.7918  105  231  402.00000 -2919.7918   826%  46.6  195s
 488436 434957 -2919.7918   83  301  402.00000 -2919.7918   826%  46.4  200s
