
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 13:12:53 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random18.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 324 columns and 0 nonzeros
Model fingerprint: 0xaeabdc52
Model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3816.0000000
Found heuristic solution: objective 997.0000000
Found heuristic solution: objective 502.0000000
Found heuristic solution: objective 466.0000000
Presolve time: 0.08s
Presolved: 0 rows, 324 columns, 0 nonzeros
Presolved model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)

Root relaxation: objective -4.699711e+03, 327 iterations, 0.05 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -4699.7110    0  322  466.00000 -4699.7110  1109%     -    0s
     0     0 -4699.7110    0  322  466.00000 -4699.7110  1109%     -    0s
     0     2 -4699.7110    0  322  466.00000 -4699.7110  1109%     -    0s
H   19    32                     400.0000000 -4307.2585  1177%  21.4    0s
H  187   192                     383.0000000 -4288.9029  1220%  12.1    0s
H10361  9158                     378.0000000 -4250.1463  1224%   4.8    4s
 10495  9349 -2424.8863   30  201  378.00000 -4250.1463  1224%   4.8    5s
 43514 33249 -2858.9892   25  232  378.00000 -3976.9007  1152%   5.5   10s
 109049 95081 -847.76078  187  129  378.00000 -3568.5602  1044%   5.2   15s
 177297 158384 -1109.7963  160  139  378.00000 -3518.2716  1031%   5.2   20s
 242447 214500 -2948.4757   59  239  378.00000 -3475.8194  1020%   5.3   25s
 317690 286296 -2201.5472  101  211  378.00000 -3442.7549  1011%   5.1   30s
 392276 355128 -1127.1165  162  147  378.00000 -3418.7504  1004%   5.1   35s
 467223 420302 -3095.3840   49  259  378.00000 -3393.7118   998%   5.1   40s
 531387 480106 -2759.2647   60  238  378.00000 -3377.4228   993%   5.1   45s
 600630 544003 -3109.9003   50  259  378.00000 -3361.4369   989%   5.1   50s
 661000 598747 -2577.0744   61  226  378.00000 -3349.8815   986%   5.0   55s
 707272 643624 -1671.1177  144  177  378.00000 -3342.2709   984%   5.0   60s
 757411 689972 -767.14301  205  109  378.00000 -3333.9442   982%   5.0   65s
 789787 719040 -758.69048  190  135  378.00000 -3329.1116   981%   5.1   70s
 855082 777091 -1485.0027  175  128  378.00000 -3315.9963   977%   5.1   75s
 895919 815532 -1895.9034   64  235  378.00000 -3309.8190   976%   5.1   80s
 931337 849329 -2175.1132  127  181  378.00000 -3305.0595   974%   5.1   85s
 968848 881695 -1610.6997  117  180  378.00000 -3299.4072   973%   5.2   90s
 1017507 926270 -1465.4103  130  154  378.00000 -3293.5082   971%   5.1   95s
 1065329 970653 -1174.8262  170  134  378.00000 -3287.1258   970%   5.1  100s
 1111442 1013038 -2350.2735   62  222  378.00000 -3281.0939   968%   5.1  105s
 1162652 1058628 -2739.2932   74  233  378.00000 -3273.8106   966%   5.1  110s
 1217298 1108049 -2155.4092   92  198  378.00000 -3267.5573   964%   5.1  115s
 1249366 1134692 -2311.3253   71  230  378.00000 -3263.4728   963%   5.1  120s
 1295365 1179582 -546.59165  211  112  378.00000 -3257.7603   962%   5.1  125s
 1341734 1222993 -2382.1237   92  217  378.00000 -3251.5262   960%   5.1  130s
 1384803 1260536 -322.44739  113  136  378.00000 -3247.5714   959%   5.1  135s
 1433088 1304880 -717.47231   82  161  378.00000 -3242.8899   958%   5.1  140s
 1480470 1347806 -1641.2523   71  190  378.00000 -3239.5366   957%   5.0  145s
 1525104 1390890 -2269.7878   71  231  378.00000 -3235.5438   956%   5.0  150s
 1573653 1433230 -1957.9833  105  194  378.00000 -3230.4673   955%   5.0  155s
 1619327 1474225 -103.91521  156  117  378.00000 -3225.9048   953%   5.0  160s
 1665155 1515025 -988.48298  134  150  378.00000 -3221.7099   952%   5.0  165s
 1701542 1547449 -1764.6989   90  200  378.00000 -3219.9485   952%   5.1  170s
 1725189 1571477 -2882.9485   56  240  378.00000 -3217.4788   951%   5.1  175s
 1769128 1609832 -1587.1915  139  160  378.00000 -3214.5815   950%   5.1  180s
 1810773 1648221 -2890.8770   54  240  378.00000 -3211.5417   950%   5.1  185s
 1859593 1693425 -1078.5471  158  149  378.00000 -3208.1205   949%   5.1  190s
 1906780 1735441 -2425.5752  103  197  378.00000 -3204.7035   948%   5.0  195s
 1931787 1755746 -1160.0739   71  172  378.00000 -3203.1469   947%   5.1  200s
 1964547 1785946 -1038.9096   84  180  378.00000 -3199.3553   946%   5.1  205s
