
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 19:32:23 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.60s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -2325.6942    0  167  417.00000 -2325.6942   658%     -    0s
     0     0 -2325.6942    0  167  417.00000 -2325.6942   658%     -    1s
     0     2 -2325.6942    0  167  417.00000 -2325.6942   658%     -    1s
H   53    64                     387.0000000 -2062.0802   633%  11.0    2s
H   95   128                     375.0000000 -2062.0802   650%   9.6    2s
  5458  4920 -1257.8010   25  264  375.00000 -2038.3091   644%   4.5    5s
 14412 10310 -2038.3091   65  213  375.00000 -2038.3091   644%  31.5   10s
 59325 48626 -2038.3091  122  107  375.00000 -2038.3091   644%  28.3   17s
 77391 63839 -2038.3091   48  178  375.00000 -2038.3091   644%  29.4   20s
 124496 102723 -2038.3091   62  186  375.00000 -2038.3091   644%  29.5   25s
 165328 136552 -2038.3091   69  119  375.00000 -2038.3091   644%  29.8   30s
 214892 177039 -2038.3091   74  117  375.00000 -2038.3091   644%  30.3   35s
 270270 221653 -2038.3091   62  155  375.00000 -2038.3091   644%  30.0   40s
 327151 267813 -2038.3091   63  162  375.00000 -2038.3091   644%  29.9   45s
 385845 314263 -2038.3091   76  128  375.00000 -2038.3091   644%  29.8   50s
 432063 353942 -2038.3091   70  103  375.00000 -2038.3091   644%  29.9   55s
 490497 399915 -2038.3091   84  105  375.00000 -2038.3091   644%  29.8   60s
 557523 453292 -2038.3091   67  137  375.00000 -2038.3091   644%  29.5   65s
 624047 505203 -2038.3091   65  147  375.00000 -2038.3091   644%  29.1   70s
 697979 563963 -2038.3091   74  104  375.00000 -2038.3091   644%  28.6   75s
 767171 618566 -2038.3091   52  131  375.00000 -2038.3091   644%  28.3   80s
 819091 659301 -2038.3091   91  100  375.00000 -2038.3091   644%  28.0   85s
 871029 699723 -2038.3091   74  115  375.00000 -2038.3091   644%  28.0   90s
 915153 733965 -1517.1043  105   52  375.00000 -2038.3091   644%  27.9   95s
 969801 777541 -2038.3091   57  146  375.00000 -2038.3091   644%  27.7  100s
 992222 792378 -2038.3091   85  113  375.00000 -2038.3091   644%  27.6  105s
 1033396 826285 -2038.3091   75  100  375.00000 -2038.3091   644%  27.6  110s
 1093813 873249 -2038.3091   55  127  375.00000 -2038.3091   644%  27.5  115s
 1154186 919226 -2038.3091   73  117  375.00000 -2038.3091   644%  27.4  120s
 1219105 969486 -2038.3091   90  120  375.00000 -2038.3091   644%  27.1  125s
 1279262 1016183 -2038.3091   66  113  375.00000 -2038.3091   644%  27.0  130s
 1325348 1053397 -2038.3091   73  100  375.00000 -2038.3091   644%  26.9  135s
 1369974 1088172 -813.35969  121   45  375.00000 -2038.3091   644%  26.8  140s
 1425785 1132397 -2038.3091   77  117  375.00000 -2038.3091   644%  26.7  145s
 1477350 1171406 -2038.3091   78   71  375.00000 -2038.3091   644%  26.5  150s
 1530657 1212173 -2038.3091   97  108  375.00000 -2038.3091   644%  26.4  155s
 1583677 1251694 -2038.3091   86  101  375.00000 -2038.3091   644%  26.4  160s
 1615507 1273762 -2038.3091   85   98  375.00000 -2038.3091   644%  26.3  166s
 1643322 1297827 -2038.3091   84  125  375.00000 -2038.3091   644%  26.3  170s
 1697863 1339703 -2038.3091   72   86  375.00000 -2038.3091   644%  26.2  175s
 1743819 1375014 -2038.3091   60  124  375.00000 -2038.3091   644%  26.1  180s
 1789519 1409744 -2038.3091   81   83  375.00000 -2038.3091   644%  26.1  185s
 1836761 1445649 -2038.3091   92   94  375.00000 -2038.3091   644%  25.9  190s
 1879751 1477826 -2038.3091   78  106  375.00000 -2038.3091   644%  25.9  195s
 1920795 1509589 -2038.3091   75   80  375.00000 -2038.3091   644%  25.7  200s
 1962095 1540222 -2038.3091   78  108  375.00000 -2038.3091   644%  25.7  205s
 1996380 1566457 -2038.3091   77  112  375.00000 -2038.3091   644%  25.6  210s
