
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:33:53 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0xc040ad5e
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [1e+01, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2324.0000000
Found heuristic solution: objective 513.0000000
Found heuristic solution: objective 413.0000000
Found heuristic solution: objective 401.0000000
Presolve time: 0.03s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.129000e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -2128.9996    0  194  401.00000 -2128.9996   631%     -    0s
     0     0 -2128.9996    0  194  401.00000 -2128.9996   631%     -    0s
     0     2 -2128.9996    0  194  401.00000 -2128.9996   631%     -    0s
H   15    32                     375.0000000 -1810.7755   583%  14.9    0s
H   34    64                     338.0000000 -1792.9459   630%  15.7    1s
H  141   160                     329.0000000 -1772.1523   639%  10.0    1s
H  241   256                     327.0000000 -1757.9487   638%   7.8    1s
H  383   416                     319.0000000 -1757.9487   651%   6.7    1s
H  388   416                     307.0000000 -1757.9487   673%   6.7    1s
  6722  6196  237.06255  139  288  307.00000 -1738.7397   666%   4.4    5s
  6941  6376 -1738.7397   50  300  307.00000 -1738.7397   666%  13.3   10s
 16165 11453 -1738.7397   71  264  307.00000 -1738.7397   666%  29.5   15s
 35987 25784 -1738.7397   93  227  307.00000 -1738.7397   666%  33.9   20s
 57403 45720 -1738.7397  113  193  307.00000 -1738.7397   666%  34.0   25s
 60439 48763 -1738.7397  115  159  307.00000 -1738.7397   666%  33.6   31s
 77774 63936 -1738.7397  135  163  307.00000 -1738.7397   666%  35.2   35s
 87288 71228 -1738.7397  149  135  307.00000 -1738.7397   666%  35.7   45s
 105720 88278 -1738.7397   54  216  307.00000 -1738.7397   666%  36.0   50s
 123936 103249 -1738.7397   73  186  307.00000 -1738.7397   666%  36.0   55s
 142657 119032 -1738.7397   96  126  307.00000 -1738.7397   666%  36.1   60s
 164842 137351 -1738.7397   89  148  307.00000 -1738.7397   666%  36.0   65s
 180704 150690 -1738.7397  114  120  307.00000 -1738.7397   666%  35.8   70s
 199956 168648 -1738.7397  118  122  307.00000 -1738.7397   666%  36.7   75s
 219213 181344 -1738.7397   65  161  307.00000 -1738.7397   666%  36.3   82s
 231721 195183 -1738.7397   83  157  307.00000 -1738.7397   666%  36.0   85s
 263776 222477 -1738.7397   66  174  307.00000 -1738.7397   666%  35.4   90s
 286947 243829 -1738.7397  104  122  307.00000 -1738.7397   666%  36.4   95s
 320926 270577 -1738.7397   86  176  307.00000 -1738.7397   666%  36.0  100s
 353428 299756 -1738.7397   79  155  307.00000 -1738.7397   666%  36.2  105s
 391449 330090 -1738.7397  113  132  307.00000 -1738.7397   666%  35.6  110s
 427537 359901 -336.22206  144   39  307.00000 -1738.7397   666%  35.1  115s
 462689 390738 -1730.1515  115   66  307.00000 -1738.7397   666%  34.9  120s
 494433 415856 -1738.7397   83  151  307.00000 -1738.7397   666%  34.6  125s
 526648 444885 -1738.7397   84  159  307.00000 -1738.7397   666%  34.7  130s
 561077 472134 -1738.7397   99  130  307.00000 -1738.7397   666%  34.5  135s
 595798 500422 -1738.7397   84  147  307.00000 -1738.7397   666%  34.4  140s
 622653 521962 -1738.7397   96  140  307.00000 -1738.7397   666%  34.4  145s
 650048 541366 -1738.7397   94  172  307.00000 -1738.7397   666%  34.3  151s
 650513 567505 -1738.7397   97  165  307.00000 -1738.7397   666%  34.3  156s
 699138 584395 -1738.7397  100  157  307.00000 -1738.7397   666%  34.0  160s
 739877 618269 -1738.7397   88  136  307.00000 -1738.7397   666%  33.8  165s
 771830 645533 -1738.7397   80  155  307.00000 -1738.7397   666%  33.9  170s
 807619 674568 -842.78918  167   59  307.00000 -1738.7397   666%  33.9  175s
 841290 702437 -1738.7397  115  120  307.00000 -1738.7397   666%  33.8  180s
 876873 731745 -1738.7397  109  117  307.00000 -1738.7397   666%  33.7  185s
 913390 762134 -1738.7397  106  138  307.00000 -1738.7397   666%  33.7  190s
 940947 786412 -286.66262  156   33  307.00000 -1738.7397   666%  33.9  195s
 982174 819046 -1738.7397   72  147  307.00000 -1738.7397   666%  33.7  200s
 1014120 845638 -1274.9681  111   77  307.00000 -1738.7397   666%  33.6  205s
